symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2022-02-14,2022-01-31,1.16,USD
AA,Alcoa Corp,2022-01-18,2021-12-31,2.16,USD
AAIC,Arlington Asset Investment Corp - Class A,2022-02-14,2021-12-31,0.06,USD
AAL,American Airlines Group Inc,2022-01-26,2021-12-31,-1.74,USD
AAN,Aarons Company Inc (The),2022-02-21,2021-12-31,0.39,USD
AAOI,Applied Optoelectronics Inc,2022-02-23,2021-12-31,-0.22,USD
AAON,AAON Inc,2022-02-23,2021-12-31,0.28,USD
AAP,Advance Auto Parts Inc,2022-02-14,2021-12-31,1.9,USD
AAPL,Apple Inc,2022-01-25,2021-12-31,1.88,USD
AAT,American Assets Trust Inc,2022-02-07,2021-12-31,0.13,USD
AAVVF,AAVVF,2022-02-23,2021-12-31,0.15,CAD
AAWW,Atlas Air Worldwide Holdings Inc,2022-02-16,2021-12-31,6.09,USD
AB,AllianceBernstein Holding Lp,2022-02-09,2021-12-31,0.98,USD
ABBV,Abbvie Inc,2022-02-01,2021-12-31,3.29,USD
ABC,Amerisource Bergen Corp,2022-02-02,2021-12-31,2.54,USD
ABCB,Ameris Bancorp,2022-01-26,2021-12-31,1.19,USD
ABG,Asbury Automotive Group Inc,2022-01-31,2021-12-31,6.21,USD
ABM,ABM Industries Inc,2021-12-15,2021-10-31,0.8,USD
ABMD,Abiomed Inc,2022-01-26,2021-12-31,0.97,USD
ABNB,Airbnb Inc - Class A,2022-02-23,2021-12-31,0.03,USD
ABR,Arbor Realty Trust Inc,2022-02-17,2021-12-31,0.47,USD
ABST,Absolute Software Corporation,2022-02-07,2021-12-31,-0.08,USD
ABT,Abbott Laboratories,2022-01-25,2021-12-31,1.17,USD
ABTX,Allegiance Bancshares Inc,2022-01-26,2021-12-31,0.95,USD
AC,Associated Capital Group Inc - Class A,2022-02-08,2021-12-31,,USD
ACA,Arcosa Inc,2022-02-22,2021-12-31,0.22,USD
ACAD,Acadia Pharmaceuticals Inc,2022-02-22,2021-12-31,-0.24,USD
ACAZF,ACAZF,2022-02-08,2021-12-31,,USD
ACB,Aurora Cannabis Inc,2022-02-09,2021-12-31,-0.21,CAD
ACBI,Atlantic Capital Bancshares Inc,2022-01-19,2021-12-31,0.53,USD
ACC,American Campus Communities Inc,2022-02-21,2021-12-31,0.24,USD
ACCD,Accolade Inc,2022-01-05,2021-11-30,-0.74,USD
ACCO,Acco Brands Corporation,2022-02-14,2021-12-31,0.48,USD
ACDVF,ACDVF,2022-02-18,2021-12-31,,USD
ACGL,Arch Capital Group Ltd,2022-02-07,2021-12-31,0.94,USD
ACHC,Acadia Healthcare Company Inc,2022-02-23,2021-12-31,0.68,USD
ACI,Albertsons Companies Inc - Class A,2022-01-10,2021-11-30,0.56,USD
ACLLF,ACLLF,2022-02-23,2021-12-31,,USD
ACLS,Axcelis Technologies Inc,2022-02-08,2021-12-31,0.84,USD
ACM,AECOM,2022-02-07,2021-12-31,0.76,USD
ACMR,ACM Research Inc - Class A,2022-02-23,2021-12-31,0.41,USD
ACN,Accenture plc - Class A,2021-12-16,2021-11-30,2.63,USD
ACNB,ACNB Corp,2022-01-27,2021-12-31,,USD
ACRE,Ares Commercial Real Estate Corp,2022-02-16,2021-12-31,0.37,USD
ACRS,Aclaris Therapeutics Inc,2022-02-23,2021-12-31,-0.37,USD
ACST,Acasti Pharma Inc - Class A,2022-02-07,2021-12-31,,USD
ACY,Aerocentury Corp,2022-02-18,2021-12-31,,USD
ADAP,Adaptimmune Therapeutics Plc,2022-02-23,2021-12-31,-0.06,USD
ADBE,Adobe Inc,2021-12-16,2021-11-30,3.2,USD
ADBRF,ADBRF,2022-02-22,2021-12-31,,USD
ADC,Agree Realty Corp,2022-02-16,2021-12-31,0.47,USD
ADFJF,ADFJF,2021-12-07,2021-10-31,,CAD
ADI,Analog Devices Inc,2022-02-15,2022-01-31,1.77,USD
ADM,Archer Daniels Midland Company,2022-01-24,2021-12-31,1.19,USD
ADMS,Adamas Pharmaceuticals Inc,2022-02-21,2021-12-31,-0.17,USD
ADNT,Adient plc,2022-02-03,2021-12-31,-0.26,USD
ADP,Automatic Data Processing Inc,2022-01-25,2021-12-31,1.63,USD
ADPT,Adaptive Biotechnologies Corp,2022-02-22,2021-12-31,-0.45,USD
ADS,Alliance Data System,2022-01-26,2021-12-31,2.48,USD
ADSK,Autodesk Inc,2022-02-23,2022-01-31,1.43,USD
ADT,ADT Inc,2022-02-22,2021-12-31,0.2,USD
ADTN,Adtran Inc,2022-02-01,2021-12-31,-0.02,USD
ADUS,Addus HomeCare Corporation,2022-02-23,2021-12-31,0.93,USD
ADWPF,ADWPF,2022-02-08,2021-12-31,,USD
ADXS,Advaxis Inc,2022-01-20,2021-10-31,-0.04,USD
AEE,Ameren Corp,2022-02-17,2021-12-31,0.48,USD
AEHR,Aehr Test Systems,2022-01-05,2021-11-30,0.04,USD
AEIS,Advanced Energy Industries Inc,2022-02-08,2021-12-31,0.94,USD
AEL,American Equity Investment Life Holding Company,2022-02-15,2021-12-31,0.96,USD
AEM,Agnico Eagle Mines Ltd,2022-02-09,2021-12-31,0.62,USD
AEMD,Aethlon Medical Inc,2022-02-08,2021-12-31,-0.14,USD
AEP,American Electric Power Company Inc,2022-02-23,2021-12-31,0.93,USD
AERI,Aerie Pharmaceuticals Inc,2022-02-23,2021-12-31,-0.66,USD
AES,AES Corp,2022-02-23,2021-12-31,0.48,USD
AETUF,AETUF,2022-02-10,2021-12-31,,USD
AEY,Addvantage Technologies Group,2021-12-13,2021-09-30,,USD
AEY,Addvantage Technologies Group,2022-02-09,2021-12-31,,USD
AFG,American Financial Group Inc,2022-02-01,2021-12-31,2.95,USD
AFI,Armstrong Flooring Inc,2022-02-15,2021-12-31,,USD
AFL,Aflac Inc,2022-02-01,2021-12-31,1.25,USD
AFRM,Affirm Holdings Inc - Class A,2022-02-09,2021-12-31,-0.31,USD
AG,First Majestic Silver Corporation,2022-02-16,2021-12-31,0.1,USD
AGCO,AGCO Corp,2022-02-02,2021-12-31,1.77,USD
AGFMF,AGFMF,2022-01-25,2021-11-30,,USD
AGI,Alamos Gold Inc - Class A,2022-02-22,2021-12-31,0.12,USD
AGIO,Agios Pharmaceuticals Inc,2022-02-23,2021-12-31,-1.74,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2022-02-23,2021-12-31,,USD
AGMJF,AGMJF,2022-02-24,2021-12-31,,USD
AGNC,AGNC Investment Corp,2022-01-24,2021-12-31,0.67,USD
AGO,Assured Guaranty Ltd,2022-02-23,2021-12-31,0.79,USD
AGR,Avangrid Inc,2022-02-21,2021-12-31,0.4,USD
AGTC,Applied Genetic Technologies Corp,2022-02-09,2021-12-31,-0.38,USD
AGX,Argan Inc,2021-12-07,2021-10-31,0.47,USD
AGYS,Agilysys Inc,2022-01-24,2021-12-31,0.15,USD
AHH,Armada Hoffler Properties Inc,2022-02-09,2021-12-31,0.09,USD
AHT,Ashford Hospitality Trust Inc,2022-02-22,2021-12-31,-0.92,USD
AI,C3.ai Inc - Class A,2021-12-01,2021-10-31,-0.28,USD
AIG,American International Group Inc,2022-02-14,2021-12-31,1.18,USD
AIHS,Senmiao Technology Ltd,2022-02-14,2021-12-31,,USD
AIMC,Altra Industrial Motion Corp,2022-02-10,2021-12-31,0.78,USD
AIN,Albany International Corp - Class A,2022-02-08,2021-12-31,0.65,USD
AINV,Apollo Investment Corporation,2022-02-02,2021-12-31,0.34,USD
AIR,AAR Corp,2021-12-15,2021-11-30,0.55,USD
AIRC,Apartment Income REIT Corp - Class A,2022-02-09,2021-12-31,0.22,USD
AIRG,Airgain Inc,2022-02-16,2021-12-31,-0.22,USD
AIRS,Airsculpt Technologies Inc,2021-12-03,2021-09-30,,USD
AIRT,Air T Inc,2022-02-10,2021-12-31,,USD
AIT,Applied Industrial Technologies Inc,2022-01-26,2021-12-31,1.08,USD
AIZ,Assurant Inc,2022-02-07,2021-12-31,2.31,USD
AJG,Arthur J. Gallagher & Company,2022-01-26,2021-12-31,1,USD
AJRD,Aerojet Rocketdyne Holdings Inc,2022-02-16,2021-12-31,0.49,USD
AKAM,Akamai Technologies Inc,2022-02-15,2021-12-31,1.42,USD
AKBA,Akebia Therapeutics Inc,2022-02-23,2021-12-31,-0.31,USD
AKR,Acadia Realty Trust,2022-02-08,2021-12-31,0.02,USD
AKRFF,AKRFF,2022-01-19,2021-12-31,,USD
AKTS,Akoustis Technologies Inc,2022-01-31,2021-12-31,-0.2,USD
AKTX,Akari Therapeutics Plc,2021-12-09,2021-09-30,,USD
AL,Air Lease Corp - Class A,2022-02-21,2021-12-31,0.84,USD
ALB,Albemarle Corp,2022-02-15,2021-12-31,0.98,USD
ALCO,Alico Inc,2021-12-07,2021-09-30,-0.48,USD
ALCO,Alico Inc,2022-02-02,2021-12-31,,USD
ALE,Allete Inc,2022-02-15,2021-12-31,1.01,USD
ALEC,Alector Inc,2022-02-23,2021-12-31,-0.12,USD
ALEX,Alexander & Baldwin Inc,2022-02-23,2021-12-31,0.1,USD
ALG,Alamo Group Inc,2022-02-23,2021-12-31,1.6,USD
ALGM,Allegro Microsystems Inc,2022-01-31,2021-12-31,0.18,USD
ALGN,Align Technology Inc,2022-02-01,2021-12-31,2.74,USD
ALGT,Allegiant Travel,2022-02-01,2021-12-31,1.29,USD
ALIM,Alimera Sciences Inc,2022-02-22,2021-12-31,-0.42,USD
ALJJ,Alj Regional Holdings Inc,2021-12-13,2021-09-30,,USD
ALJJ,Alj Regional Holdings Inc,2022-02-09,2021-12-31,,USD
ALK,Alaska Air Group Inc,2022-01-24,2021-12-31,0.24,USD
ALKS,Alkermes plc,2022-02-09,2021-12-31,0.17,USD
ALL,Allstate Corp (The),2022-02-02,2021-12-31,2.76,USD
ALLE,Allegion plc,2022-02-14,2021-12-31,1.02,USD
ALLO,Allogene Therapeutics Inc,2022-02-23,2021-12-31,-0.59,USD
ALLT,Allot Ltd,2022-02-07,2021-12-31,-0.04,USD
ALLY,Ally Financial Inc,2022-01-20,2021-12-31,1.96,USD
ALNY,Alnylam Pharmaceuticals Inc,2022-02-09,2021-12-31,-1.59,USD
ALOT,AstroNova Inc,2021-12-08,2021-10-31,0.06,USD
ALRM,Alarm.com Holdings Inc,2022-02-23,2021-12-31,0.32,USD
ALRS,Alerus Financial Corp,2022-01-25,2021-12-31,0.54,USD
ALSN,Allison Transmission Holdings Inc,2022-02-15,2021-12-31,0.9,USD
ALT,Altimmune Inc,2022-02-23,2021-12-31,-0.65,USD
ALTA,ALTA,2022-01-25,2021-12-31,,USD
ALTM,Altus Midstream Co - Class A,2022-02-22,2021-12-31,0.99,USD
ALTR,Altair Engineering Inc - Class A,2022-02-23,2021-12-31,0.09,USD
ALV,Autoliv Inc,2022-01-24,2021-12-31,1.15,USD
ALVR,AlloVir Inc,2022-02-09,2021-12-31,-0.81,USD
ALX,Alexander`s Inc,2022-02-14,2021-12-31,,USD
ALXN,ALXN,2022-02-02,2021-12-31,,USD
ALXXF,ALXXF,2021-11-29,2021-09-30,,USD
ALXXF,ALXXF,2022-02-23,2021-12-31,,USD
ALYA,Alithya Group Inc - Class A - Class A (Sub Voting),2022-02-09,2021-12-31,,USD
AM,Antero Midstream Corp,2022-02-15,2021-12-31,0.19,USD
AMAL,Amalgamated Financial Corp,2022-01-26,2021-12-31,0.4,USD
AMAT,Applied Materials Inc,2022-02-16,2022-01-31,1.89,USD
AMBA,Ambarella Inc,2021-11-30,2021-10-31,0.49,USD
AMBO,Ambow Education Holding Ltd,2021-12-15,2021-09-30,,USD
AMCR,Amcor Plc,2022-01-31,2021-12-31,0.18,USD
AMCX,AMC Networks Inc - Class A,2022-02-24,2021-12-31,0.24,USD
AMD,Advanced Micro Devices Inc,2022-01-24,2021-12-31,0.76,USD
AME,Ametek Inc,2022-02-02,2021-12-31,1.3,USD
AMED,Amedisys Inc,2022-02-22,2021-12-31,1.17,USD
AMEN,AMEN,2021-12-06,2021-09-30,,USD
AMG,Affiliated Managers Group Inc,2022-02-07,2021-12-31,5.77,USD
AMGN,AMGEN Inc,2022-01-31,2021-12-31,4.12,USD
AMH,American Homes 4 Rent - Class A,2022-02-23,2021-12-31,0.09,USD
AMIVF,AMIVF,2022-02-07,2021-12-31,,USD
AMK,Assetmark Financial Holdings Inc,2022-02-09,2021-12-31,0.34,USD
AMKR,AMKOR Technology Inc,2022-02-07,2021-12-31,,USD
AMN,AMN Healthcare Services Inc,2022-02-16,2021-12-31,2.2,USD
AMNB,American National Bankshares Inc,2022-01-19,2021-12-31,0.8,USD
AMNF,AMNF,2022-02-21,2021-12-31,,USD
AMP,Ameriprise Financial Inc,2022-01-25,2021-12-31,5.67,USD
AMRB,AMRB,2022-01-26,2021-12-31,,USD
AMRK,A-Mark Precious Metals Inc,2022-02-07,2021-12-31,1.17,USD
AMRN,Amarin Corp,2022-02-23,2021-12-31,-0.01,USD
AMRX,Amneal Pharmaceuticals Inc - Class A,2022-02-24,2021-12-31,0.2,USD
AMSC,American Superconductor Corp,2022-02-01,2021-12-31,-0.17,USD
AMSF,Amerisafe Inc,2022-02-22,2021-12-31,0.89,USD
AMSWA,American Software Inc - Class A,2022-02-22,2022-01-31,0.07,USD
AMT,American Tower Corp,2022-02-23,2021-12-31,1.14,USD
AMTB,Amerant Bancorp Inc - Class A,2022-01-27,2021-12-31,0.4,USD
AMWD,American Woodmark Corp,2022-02-23,2022-01-31,0.94,USD
AMZN,Amazon.com Inc,2022-01-31,2021-12-31,3.74,USD
AN,Autonation Inc,2022-02-14,2021-12-31,4.91,USD
ANAB,AnaptysBio Inc,2022-02-23,2021-12-31,0.41,USD
ANDE,Andersons Inc,2022-02-15,2021-12-31,0.66,USD
ANDHF,ANDHF,2022-02-22,2021-12-31,,USD
ANET,Arista Networks Inc,2022-02-16,2021-12-31,0.73,USD
ANGI,Angi Inc - Class A,2022-02-01,2021-12-31,-0.07,USD
ANGO,Angiodynamic Inc,2022-01-05,2021-11-30,0.01,USD
ANGVF,ANGVF,2021-12-20,2021-10-31,,USD
ANSS,Ansys Inc,2022-02-22,2021-12-31,2.71,USD
ANTM,Anthem Inc,2022-01-26,2021-12-31,5.1,USD
AOIFF,AOIFF,2022-02-24,2021-12-31,,USD
AON,Aon plc. - Class A,2022-02-03,2021-12-31,3.35,USD
AOS,A.O. Smith Corp,2022-01-26,2021-12-31,0.77,USD
AOSL,Alpha & Omega Semiconductor Ltd,2022-02-02,2021-12-31,1.04,USD
AOUT,American Outdoor Brands Inc,2021-12-09,2021-10-31,0.76,USD
APAM,Artisan Partners Asset Management Inc - Class A,2022-01-31,2021-12-31,1.29,USD
APD,Air Products & Chemicals Inc,2022-02-02,2021-12-31,2.51,USD
APDN,Applied Dna Sciences Inc,2021-12-15,2021-09-30,-0.37,USD
APDN,Applied Dna Sciences Inc,2022-02-09,2021-12-31,,USD
APH,Amphenol Corp - Class A,2022-01-25,2021-12-31,0.63,USD
APHA,APHA,2022-01-12,2021-11-30,,USD
API,Agora Inc,2022-02-21,2021-12-31,-0.16,USD
APLE,Apple Hospitality REIT Inc,2022-02-21,2021-12-31,0.05,USD
APLIF,APLIF,2022-02-10,2021-12-31,-0.08,CAD
APLS,Apellis Pharmaceuticals Inc,2022-02-23,2021-12-31,-1.43,USD
APO,Apollo Global Management Inc - Class A,2022-02-01,2021-12-31,1.17,USD
APOG,Apogee Enterprises Inc,2021-12-16,2021-11-30,0.53,USD
APPH,AppHarvest Inc,2022-01-27,2021-12-31,-0.28,USD
APPN,Appian Corp - Class A,2022-02-16,2021-12-31,-0.22,USD
APPS,Digital Turbine Inc,2022-02-01,2021-12-31,0.43,USD
APRN,Blue Apron Holdings Inc - Class A,2022-02-16,2021-12-31,-0.67,USD
APTV,Aptiv PLC,2022-02-01,2021-12-31,0.54,USD
APYRF,APYRF,2022-02-01,2021-12-31,,USD
AQMS,Aqua Metals Inc,2022-02-23,2021-12-31,-0.06,USD
AQUA,Evoqua Water Technologies Corp,2022-01-31,2021-12-31,0.09,USD
AR,Antero Resources Corp,2022-02-15,2021-12-31,0.84,USD
ARAY,Accuray Inc,2022-01-25,2021-12-31,-0.01,USD
ARCB,ArcBest Corp,2022-01-31,2021-12-31,2.18,USD
ARCC,Ares Capital Corp,2022-02-08,2021-12-31,0.46,USD
ARCE,Arco Platform Ltd - Class A,2021-11-29,2021-09-30,,USD
ARD,Ardagh Group S.A. - Class A,2022-02-14,2021-12-31,,USD
ARE,Alexandria Real Estate Equities Inc,2022-01-31,2021-12-31,0.51,USD
ARES,Ares Management Corp - Class A,2022-02-09,2021-12-31,0.72,USD
ARGO,Argo Group International Holdings Ltd,2022-02-15,2021-12-31,0.99,USD
ARHH,ARHH,2021-11-29,2021-09-30,,USD
ARHHD,ARHHD,2021-11-29,2021-09-30,,USD
ARI,Apollo Commercial Real Estate Finance Inc,2022-02-08,2021-12-31,0.33,USD
ARKR,Ark Restaurants Corp,2021-12-20,2021-09-30,,USD
ARKR,Ark Restaurants Corp,2022-02-14,2021-12-31,,USD
ARLO,Arlo Technologies Inc,2022-02-21,2021-12-31,-0.03,USD
ARLP,Alliance Resource Partners LP,2022-01-31,2021-12-31,0.69,USD
ARMK,Aramark,2022-02-07,2021-12-31,0.23,USD
ARNA,Arena Pharmaceuticals Inc,2022-02-21,2021-12-31,-2.25,USD
ARNC,Arconic Corporation,2022-02-21,2021-12-31,0.5,USD
ARNGF,ARNGF,2022-02-23,2021-12-31,,USD
AROC,Archrock Inc,2022-02-21,2021-12-31,0.02,USD
AROW,Arrow Financial Corp,2022-01-26,2021-12-31,0.75,USD
ARQT,Arcutis Biotherapeutics Inc,2022-02-14,2021-12-31,-1.49,USD
ARR,ARMOUR Residential REIT Inc,2022-02-15,2021-12-31,0.27,USD
ARREF,ARREF,2022-02-16,2021-12-31,,USD
ARTL,Artelo Biosciences Inc,2022-01-12,2021-11-30,,USD
ARTW,Art`s-way Manufacturing Co. Inc,2022-02-03,2021-11-30,,USD
ARW,Arrow Electronics Inc,2022-02-02,2021-12-31,4.43,USD
ARWR,Arrowhead Pharmaceuticals Inc,2022-02-02,2021-12-31,-0.52,USD
