id,symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,created_at,updated_at,reportedCurrency,totalRevenue,costOfRevenue,operatingIncome,grossProfit,operatingCashflow,netIncome
336,LOW,2021-10-31,2021-11-17,2.73,2.3522,0.3778,16.0616,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
316,LOW,2021-10-29,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:53 UTC,USD,22694000000,20129000000,2789000000,7587000000,2266000000,1896000000
437,FANG,2021-09-30,2021-11-01,2.94,2.7875,0.1525,5.4709,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,1910000000,38000000,1164000000,1872000000,1199000000,649000000
218,AMZN,2021-09-30,2021-10-28,6.12,8.8964,-2.7764,-31.2081,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,110212000000,75590000000,4852000000,34622000000,7313000000,3156000000
179,FB,2021-09-30,2021-10-25,3.22,3.178,0.042,1.3216,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,29006000000,5771000000,10423000000,23235000000,14090000000,9194000000
170,U,2021-09-30,2021-11-09,-0.06,-0.0681,0.0081,11.8943,2021-11-30 10:45:16 UTC,2021-11-30 10:45:17 UTC,USD,286421000,242641000,-126750000,222811000,43623000,-115152000
67,AAPL,2021-09-30,2021-10-28,1.24,1.238,0.002,0.1616,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,82688000000,53802000000,23786000000,35174000000,20200000000,20551000000
21,TSLA,2021-09-30,2021-10-20,1.86,1.6143,0.2457,15.2202,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,13757000000,10097000000,2004000000,3660000000,3147000000,1618000000
1,GOOG,2021-09-30,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,64928000000,27621000000,21031000000,37307000000,,18936000000
337,LOW,2021-07-31,2021-08-18,4.25,4.005,0.245,6.1174,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
317,LOW,2021-07-30,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:53 UTC,USD,27350000000,23360000000,4210000000,9312000000,2421000000,3018000000
438,FANG,2021-06-30,2021-08-02,2.4,2.2007,0.1993,9.0562,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,1681000000,36000000,955000000,1645000000,954000000,311000000
219,AMZN,2021-06-30,2021-07-29,15.12,12.287,2.833,23.0569,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,112755000000,76347000000,7702000000,36408000000,12715000000,7778000000
180,FB,2021-06-30,2021-07-28,3.61,3.061,0.549,17.9353,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,29073000000,5399000000,12367000000,23674000000,13247000000,10394000000
171,U,2021-06-30,2021-08-10,-0.02,-0.1163,0.0963,82.8031,2021-11-30 10:45:16 UTC,2021-11-30 10:45:17 UTC,USD,273170000,276091000,-149184000,215837000,-26681000,-148342000
68,AAPL,2021-06-30,2021-07-27,1.3,1.0143,0.2857,28.1672,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,80769000000,51591000000,24126000000,35255000000,21094000000,21744000000
22,TSLA,2021-06-30,2021-07-26,1.45,0.9789,0.4711,48.1254,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,11958000000,9074000000,1312000000,2884000000,2124000000,1142000000
2,GOOG,2021-06-30,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,61880000000,26227000000,19361000000,35653000000,,18525000000
318,LOW,2021-04-30,2021-05-19,3.21,2.587,0.623,24.0819,2021-11-30 11:22:52 UTC,2021-11-30 11:22:56 UTC,USD,24208000000,21177000000,3245000000,8130000000,4492000000,2321000000
439,FANG,2021-03-31,2021-05-03,2.3,1.8663,0.4337,23.2385,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,1184000000,27000000,571000000,1157000000,624000000,220000000
220,AMZN,2021-03-31,2021-04-29,15.79,9.4385,6.3515,67.2935,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,108088000000,73053000000,8865000000,35035000000,4213000000,8107000000
181,FB,2021-03-31,2021-04-28,3.3,2.3417,0.9583,40.9233,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,26167000000,5131000000,11378000000,21036000000,12242000000,9497000000
172,U,2021-03-31,2021-05-11,-0.1,-0.1233,0.0233,18.897,2021-11-30 10:45:16 UTC,2021-11-30 10:45:17 UTC,USD,234750000,199032000,-110902000,176038000,-88882000,-107460000
69,AAPL,2021-03-31,2021-04-28,1.4,0.9888,0.4112,41.5858,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,88914000000,56819000000,27503000000,38079000000,23981000000,23630000000
